Smoothed X 2	Smoothed Y 2
624	-156.403558308135
625	-154.558100499014
626	-152.764891238362
627	-151.055601517509
628	-149.554631907766
629	-148.331450665022
630	-147.522159142817
631	-147.043799876745
632	-147.020670031558
633	-147.439609633535
634	-148.250422648092
635	-149.284611549427
636	-150.570250055691
637	-151.854545270304
638	-153.052947568819
639	-154.053194302072
640	-154.85268406488
641	-155.349534919088
642	-155.666106413504
643	-155.72255812116
644	-155.537909141034
645	-155.097797384809
646	-154.533428166956
647	-153.809502901783
648	-153.131886825462
649	-152.572905195231
650	-152.238932318216
651	-152.092466440747
652	-152.317037346661
653	-152.851524621373
654	-153.65931131497
655	-154.675571139132
656	-155.848801054383
657	-156.937769824714
658	-157.961159228509
659	-158.847810241183
660	-159.543242360478
661	-159.995039200212
662	-160.184197368622
663	-159.951564546228
664	-159.366515899897
665	-158.435101125812
666	-157.275301907013
667	-155.943404208273
668	-154.536646460816
669	-152.999875609676
670	-151.356270428871
671	-149.611132502928
672	-147.882324499289
673	-146.207708374734
674	-144.642396046817
675	-143.239773973897
676	-141.976268368289
677	-140.837881463046
678	-139.825463578229
679	-138.924342538317
680	-138.14530374296
681	-137.483541915094
682	-136.892019099047
683	-136.448236535465
684	-136.234057756066
685	-136.206136591882
686	-136.370887371103
687	-136.718302720661
688	-137.081995682692
689	-137.392242942428
690	-137.633475505387
691	-137.813939290245
692	-137.919629354278
693	-138.035760752931
694	-138.141850606427
695	-138.291679343606
696	-138.476804840441
697	-138.717761088436
698	-138.961250811915
699	-139.199698048383
700	-139.394373235752
701	-139.550503590231
702	-139.625033367202
703	-139.676082566703
704	-139.694422278578
705	-139.694783887441
706	-139.69698267296
707	-139.762852133885
708	-139.825814299832
709	-139.943021983182
710	-140.094514474
711	-140.201045673341
712	-140.181863849635
713	-140.119704814057
714	-140.093427771876
715	-140.148074998558
716	-140.339347792069
717	-140.794843343943
718	-141.472005264834
719	-142.21658893846
720	-142.957684118574
721	-143.608613222242
722	-144.054281571458
723	-144.304854588534
724	-144.35558136493
725	-144.191390842175
726	-143.942646028549
727	-143.642070580671
728	-143.255569063847
729	-142.773776300823
730	-142.233069085429
731	-141.560888899714
